"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","dff","dropout_rate","head_dim","learning_rate","n_heads","n_layers","window_size","epoch/epoch","epoch/learning_rate","epoch/loss","epoch/r_square","epoch/val_loss","epoch/val_r_square"
"drawn-sweep-8","finished","-","cridonoso","","2023-06-05T18:26:18.000Z","110735","hvmpmcr4","2500","64","0.395530699367861","64","0.00001","4","1","200","140","0.000009999999747378752","0.08147996664047241","0.7209756374359131","0.0810910239815712","0.7123377323150635"
"atomic-sweep-29","finished","-","cridonoso","","2023-06-07T11:52:49.000Z","137910","u9aqay8r","2500","16","0.2511840171549925","64","0.001","4","1","200","177","0.000009999999747378752","0.08424073457717896","0.7177858352661133","0.08131276071071625","0.7178665995597839"
"proud-sweep-5","finished","-","cridonoso","","2023-06-04T06:39:31.000Z","102951","u9aqay8r","2500","16","0.12709466772005062","64","0.00001","4","1","200","132","0.000009999999747378752","0.08505839109420776","0.7036377191543579","0.08218979090452194","0.708249568939209"
"treasured-sweep-4","finished","-","cridonoso","","2023-06-03T22:33:01.000Z","79714","hvmpmcr4","2500","32","0.42726364655113896","64","0.00001","4","1","200","101","0.000009999999747378752","0.08395583927631378","0.7217748165130615","0.08228769898414612","0.7189285755157471"
"vibrant-sweep-30","finished","-","cridonoso","","2023-06-09T02:11:25.000Z","77978","u9aqay8r","2500","128","0.008161764068604804","64","0.0001","4","1","200","97","0.000009999999747378752","0.08551761507987976","0.7095761299133301","0.08247115463018417","0.7118691205978394"
"rural-sweep-10","finished","-","cridonoso","","2023-06-07T15:37:20.000Z","137985","hvmpmcr4","2500","128","0.4796341410435633","64","0.00001","4","1","200","171","0.000009999999747378752","0.08745530992746353","0.7180179357528687","0.08256906270980835","0.7179785966873169"
"restful-sweep-12","finished","-","cridonoso","","2023-06-05T18:07:03.000Z","65885","u9aqay8r","2500","32","0.27246698473063624","64","0.001","4","1","200","84","0.000009999999747378752","0.08969240635633469","0.7090232372283936","0.08293147385120392","0.7059910297393799"
"blooming-sweep-9","finished","-","cridonoso","","2023-06-07T01:11:57.000Z","51921","hvmpmcr4","2500","64","0.4844168954200384","64","0.00001","4","1","200","65","0.000009999999747378752","0.08895759284496307","0.6982262134552002","0.08302485942840576","0.7006458044052124"
"giddy-sweep-4","finished","-","cridonoso","","2023-06-03T15:10:28.000Z","55740","u9aqay8r","2500","32","0.17504290447141013","64","0.00001","4","1","200","71","0.000009999999747378752","0.08621653914451599","0.7148119211196899","0.0834028422832489","0.7094271183013916"
"flowing-sweep-18","finished","-","cridonoso","","2023-06-10T05:18:29.000Z","52813","hvmpmcr4","2500","32","0.313159930025315","64","0.001","4","2","200","40","0.000009999999747378752","0.09106499701738358","0.6911492347717285","0.08383573591709137","0.6992639303207397"
"playful-sweep-4","finished","-","cridonoso","","2023-06-02T22:11:28.000Z","65577","q1ntly1t","2500","128","0.440582843786731","32","0.001","4","1","200","129","0.000009999999747378752","0.08559589833021164","0.7018799185752869","0.08443889766931534","0.7056734561920166"
"fancy-sweep-20","finished","-","cridonoso","","2023-06-05T19:03:29.000Z","59590","q1ntly1t","2500","128","0.3507562882084002","32","0.01","4","1","200","117","0.000009999999747378752","0.09147454798221588","0.6842800378799438","0.08487023413181305","0.6976848840713501"
"snowy-sweep-7","finished","-","cridonoso","","2023-06-04T02:18:26.000Z","68026","q1ntly1t","2500","128","0.14277331731978193","32","0.001","4","1","200","134","0.000009999999747378752","0.08609513938426971","0.6983147859573364","0.08560281991958618","0.7023264169692993"
"iconic-sweep-14","failed","-","cridonoso","","2023-06-09T10:19:29.000Z","38478","hvmpmcr4","2500","16","0.01714916846602149","64","0.00001","4","2","200","29","0.000009999999747378752","0.09557896852493286","0.6666618585586548","0.08730574697256088","0.6821012496948242"
"blooming-sweep-3","finished","-","cridonoso","","2023-06-02T15:27:54.000Z","24208","q1ntly1t","2500","128","0.3602487025166544","16","0.01","4","1","200","70","0.000009999999747378752","0.09107241779565813","0.6758818626403809","0.0873570442199707","0.6811493635177612"
"gentle-sweep-3","finished","-","cridonoso","","2023-06-02T14:17:50.000Z","116106","hvmpmcr4","2500","32","0.416681908368501","64","0.0001","2","1","200","279","0.000009999999747378752","0.0807972177863121","0.699657142162323","0.08743971586227417","0.6841176748275757"
"polished-sweep-24","finished","-","cridonoso","","2023-06-06T18:18:30.000Z","69007","q1ntly1t","2500","16","0.4626362186867206","64","0.01","4","2","200","53","0.000009999999747378752","0.08695267140865326","0.683256208896637","0.08802340924739838","0.6793617606163025"
"polished-sweep-6","finished","-","cridonoso","","2023-06-05T00:16:29.000Z","37687","hvmpmcr4","2500","64","0.4963915086240714","64","0.00001","2","1","200","89","0.000009999999747378752","0.08932537585496902","0.6595504283905029","0.08808240294456482","0.6680594682693481"
"jumping-sweep-16","failed","-","cridonoso","","2023-06-09T22:11:46.000Z","23440","hvmpmcr4","2500","32","0.2690125492553216","64","0.01","4","1","200","29","0.000009999999747378752","0.09169596433639526","0.6677800416946411","0.08816822618246078","0.6729089021682739"
"denim-sweep-3","finished","-","cridonoso","","2023-06-02T20:27:35.000Z","67368","u9aqay8r","2500","32","0.3057856135042982","64","0.00001","4","1","200","86","0.000009999999747378752","0.0882868766784668","0.6867223381996155","0.08882167935371399","0.6771901845932007"
"fragrant-sweep-1","finished","-","cridonoso","","2023-06-01T13:06:05.000Z","68208","hvmpmcr4","2500","64","0.12277583459232903","32","0.01","4","2","200","80","0.000009999999747378752","0.0927950069308281","0.639115035533905","0.08964294195175171","0.6584336757659912"
"radiant-sweep-8","failed","-","cridonoso","","2023-06-04T21:12:14.000Z","15253","q1ntly1t","2500","128","0.3284349152526473","32","0.001","4","1","200","29","0.000009999999747378752","0.08555111289024353","0.6702035665512085","0.0907732918858528","0.6607208251953125"
"hopeful-sweep-32","failed","-","cridonoso","","2023-06-08T05:28:44.000Z","14865","q1ntly1t","2500","16","0.19622785107011065","32","0.01","4","1","200","29","0.000009999999747378752","0.09598488360643388","0.6467336416244507","0.09091559797525406","0.6501562595367432"
"sweepy-sweep-31","failed","-","cridonoso","","2023-06-08T01:21:27.000Z","14819","q1ntly1t","2500","16","0.12240878233483247","32","0.0001","4","1","200","29","0.000009999999747378752","0.09454920142889024","0.625906229019165","0.09234947711229324","0.6364437341690063"
"golden-sweep-38","failed","-","cridonoso","","2023-06-08T14:35:34.000Z","24178","q1ntly1t","2500","128","0.23110841273303856","64","0.00001","4","1","200","29","0.000009999999747378752","0.10025998950004578","0.6371504664421082","0.09235144406557085","0.6462016105651855"
"vivid-sweep-9","failed","-","cridonoso","","2023-06-05T01:26:29.000Z","12536","q1ntly1t","2500","32","0.4279019049011496","64","0.00001","2","1","200","29","0.000009999999747378752","0.09322760999202728","0.6169717311859131","0.09264146536588667","0.6343057751655579"
"scarlet-sweep-1","finished","-","cridonoso","","2023-06-01T13:06:08.000Z","31738","q1ntly1t","2500","128","0.3757796812122016","16","0.01","2","1","200","165","0.000009999999747378752","0.09685058891773224","0.6215512752532959","0.0929364264011383","0.6369422674179077"
"visionary-sweep-25","finished","-","cridonoso","","2023-06-07T13:28:46.000Z","24643","q1ntly1t","2500","16","0.14394647444559144","32","0.001","4","1","200","49","0.000009999999747378752","0.09110673516988754","0.6365497708320618","0.0929628536105156","0.635016679763794"
"lyric-sweep-2","finished","-","cridonoso","","2023-06-02T08:03:07.000Z","22478","hvmpmcr4","2500","16","0.31707729747677704","16","0.0001","2","1","200","123","0.000009999999747378752","0.09200892597436904","0.6357142329216003","0.09324666112661362","0.633017897605896"
